relative_path,size_bytes,extension,classification,likely_role
articles/Fehr_intentions matter_2008.pdf,248057,pdf,archive only,literature/reference material
articles/Goeree&holt_asymmetric inequality aversion_2000.pdf,136068,pdf,archive only,literature/reference material
articles/Homo Reciprocans - Dohmen - 2009 - published version.pdf,155804,pdf,archive only,literature/reference material
articles/Incentives_motivation_crowding out_Irlenbusch_2005.pdf,366328,pdf,archive only,literature/reference material
articles/Lacour_intentions in trust games_2012.pdf,640336,pdf,archive only,literature/reference material
articles/Legitimacy of Control_published version_Schnedler - 2011 - Journal of Economics & Management Strategy.pdf,185117,pdf,archive only,literature/reference material
articles/McCabe et al_2002_pos reciprocity & intentions.pdf,68781,pdf,archive only,literature/reference material
articles/Nelson Jr_equity or intention_2001.pdf,65985,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Besley_what_s the good of the market.pdf,892605,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Choi et al_2013_who is more rational.pdf,357290,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Duffy&Puzzello_2013_gift vs monetary exhange.pdf,1442073,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Fisman et al_distributional preferences change_2014.pdf,1340107,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Maier-Rigaud et al_Ostracism and provision of public good.pdf,339887,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/McMillan&Harttgen_driving the african growth miracle_2014.pdf,1154865,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Nunn et al 2014_US food aid and civil conflict.pdf,752232,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Rupp_Teaching economics with chocolate_2014.pdf,207904,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Science-2014-Haushofer-862-7.pdf,1194141,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Science-2014-Pennisi-824-5.pdf,793726,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Science-2014-Pringle-822-5.pdf,2212119,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Spolaore&Wacziarg_roots of economic development_2013.pdf,798508,pdf,archive only,literature/reference material
articles/Papers for a variety of ongoing projects/Temin_economic history and development_2014.pdf,252745,pdf,archive only,literature/reference material
articles/REPRESENTATIVE_RECIPROCITY_ PREVALENCE AND DETERMINANTS - DOHMEN - 2008 - published version.pdf,90951,pdf,archive only,literature/reference material
articles/S0167268103000039.html,43590,html,archive only,literature/reference material
articles/Sebald - Attribution and Reciprocity.pdf,329260,pdf,archive only,literature/reference material
articles/Sliwka 2007_trust as signal of social norm.pdf,2053313,pdf,archive only,literature/reference material
articles/Smith_friendorfoe_2000.pdf,325010,pdf,archive only,literature/reference material
articles/The Dispersion of Employees_ Wage Increases and Firm Performance.pdf,2043525,pdf,archive only,literature/reference material
articles/Trust in authorities_power_Wahl_2010.pdf,160668,pdf,archive only,literature/reference material
articles/Week 4/1-s2.0-S0167268112002132-main.pdf,332085,pdf,archive only,literature/reference material
articles/Week 4/Gilchrist et al - 2013.pdf,650369,pdf,archive only,literature/reference material
articles/Week 4/Jakiela et al - 2013.pdf,270825,pdf,archive only,literature/reference material
articles/Week 4/file228102.pdf,337279,pdf,archive only,literature/reference material
articles/Week 4/w20102.pdf,1042801,pdf,archive only,literature/reference material
articles/autonomy_control.tex,652,tex,archive only,literature/reference material
articles/bartling fehr schmidt 2012.pdf,365207,pdf,archive only,literature/reference material
articles/blount.pdf,1450066,pdf,archive only,literature/reference material
articles/control premium.pdf,1601158,pdf,archive only,literature/reference material
articles/delegation_july_2011.pdf,464174,pdf,archive only,literature/reference material
articles/file_homo reciprocans.pdf,903174,pdf,archive only,literature/reference material
articles/ginosharekmoore_obhdp_2011.pdf,490220,pdf,archive only,literature/reference material
articles/hidden cost of control IZA_2004.pdf,324283,pdf,archive only,literature/reference material
articles/hidden cost of controlAER_2006_published version.pdf,229417,pdf,archive only,literature/reference material
articles/intention based reciprocity_2011_siemens.pdf,307412,pdf,archive only,literature/reference material
articles/intention based reciprocity_2013_published version.pdf,600773,pdf,archive only,literature/reference material
articles/intrinsic value of decision rights_Bartling_2013.pdf,691052,pdf,archive only,literature/reference material
articles/ploner 2012_published version.pdf,440781,pdf,archive only,literature/reference material
"articles/ploner, 2011.pdf",897551,pdf,archive only,literature/reference material
articles/representative_reciprocity_short_EcInq_12.pdf,151522,pdf,archive only,literature/reference material
articles/strategy method vs direct method/Brandts and Charness 2010 The Strategy versus the Direct-response Method.pdf,211644,pdf,archive only,literature/reference material
articles/strategy method vs direct method/Brandts_Charness_2011_published version.pdf,541256,pdf,archive only,literature/reference material
articles/strategy method vs direct method/Fischbacher_Gachter_2012_validity of strategy in PGG_published version.pdf,770607,pdf,archive only,literature/reference material
articles/strategy method vs direct method/validity of the strategy method in PGG_2009-25.pdf,1026858,pdf,archive only,literature/reference material
articles/von Siemens - Intention-based reciprocity and hidden costs of control.pdf,690070,pdf,archive only,literature/reference material
data-autonomy/140425_1709.gsf,4680699,gsf,needs review,data or experiment output
data-autonomy/140425_1709.sbj,1879,sbj,needs review,data or experiment output
data-autonomy/2014.04.25 - C1 - CRASH - Unusable/140424_1047.adr,348,adr,needs review,data or experiment output
data-autonomy/2014.04.25 - C1 - CRASH - Unusable/140424_1129.adr,222,adr,needs review,data or experiment output
data-autonomy/2014.04.25 - C1 - CRASH - Unusable/140425_1350.adr,947,adr,needs review,data or experiment output
data-autonomy/2014.04.25 - C1 - CRASH - Unusable/140425_1350.gsf,4393921,gsf,needs review,data or experiment output
data-autonomy/2014.04.25 - C1 - CRASH - Unusable/140425_1350.pay,527,pay,needs review,data or experiment output
data-autonomy/2014.04.25 - C1 - CRASH - Unusable/140425_1350.sbj,2750,sbj,needs review,data or experiment output
data-autonomy/2014.04.25 - C1 - CRASH - Unusable/140425_1350.xls,13605,xls,needs review,data or experiment output
data-autonomy/2014.04.25 - T1/140425_1514.gsf,318,gsf,needs review,data or experiment output
data-autonomy/2014.04.25 - T1/140425_1519.adr,732,adr,needs review,data or experiment output
data-autonomy/2014.04.25 - T1/140425_1519.gsf,2800658,gsf,needs review,data or experiment output
data-autonomy/2014.04.25 - T1/140425_1519.pay,413,pay,needs review,data or experiment output
data-autonomy/2014.04.25 - T1/140425_1519.sbj,645,sbj,needs review,data or experiment output
data-autonomy/2014.04.25 - T1/140425_1519.xls,7592,xls,needs review,data or experiment output
data-autonomy/2014.04.25 - T1/question_140425_1519.xlsx,30373,xlsx,needs review,data or experiment output
data-autonomy/2014.04.25 - T2/140425_1709.adr,990,adr,needs review,data or experiment output
